instnm,Average net price-students awarded grant or scholarship aid  2018-19 (SFA1819),Percent full-time first-time receiving an award - 6 years (DRVOM2019),State abbreviation (HD2018),City location of institution (HD2018),ZIP code (HD2018),Admissions office web address (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Sector of institution (HD2018),Historically Black College or University (HD2018),Carnegie Classification 2018: Undergraduate Instructional Program (HD2018),Carnegie Classification 2018: Basic (HD2018),Carnegie Classification 2018: Undergraduate Profile (HD2018),Institution size category (HD2018),ROTC (IC2018_RV),Study abroad (IC2018_RV),Member of National Collegiate Athletic Association (NCAA) (IC2018),Total price for out-of-state students living on campus 2018-19 (DRVIC2018),Total price for in-state students living on campus 2018-19 (DRVIC2018),Percent admitted - total (DRVADM2018_RV),Admissions yield - total (DRVADM2018_RV),Percent of undergraduate enrollment that are White (DRVEF2018_RV),Percent of undergraduate enrollment that are women (DRVEF2018_RV),Graduation rate  total cohort (DRVGR2018_RV),Completion of college-preparatory program (ADM2018_RV),Recommendations (ADM2018_RV),SAT Math 25th percentile score (ADM2018_RV),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018_RV),
Charlotte Christian College and Theological Seminary,,9,NC,Charlotte,28205-1648,charlottechristian.edu/future-students/,-80.802527,35.242999,2,2,20,24,5,1,0,0,0,,,,,8,65,38,,,,,
Charter Oak State College,,,CT,New Britain,06053,https://www.charteroak.edu/prospective/admissions,-72.767972,41.688246,1,2,9,21,5,2,0,0,0,,,,,52,69,,,,,,
Chatham University,26320,63,PA,Pittsburgh,15232,https://www.chatham.edu/admission/,-79.926083,40.448432,2,2,13,17,15,2,0,1,1,52131,52131,55,18,67,73,63,1,1,,,
Chestnut Hill College,29156,55,PA,Philadelphia,19118-2693,www.chc.edu/admissions/admissions-aid,-75.228742,40.086780,2,2,16,19,13,2,0,1,1,54072,54072,96,17,37,62,60,5,2,470,470,
Cheyney University of Pennsylvania,,23,PA,Cheyney,19319-0200,www.cheyney.edu/admissions/,-75.529262,39.932274,1,1,9,21,11,1,1,1,0,29729,24463,,,1,59,15,,,,,
Chicago School of Professional Psychology - College of Nursing,24100,42,TX,Richardson,75080,www.dni.edu/admissions/,-96.757210,32.979753,2,2,18,26,5,1,0,0,0,,,5,92,18,84,48,3,3,,,
Chicago School of Professional Psychology at Dallas,,,TX,Richardson,75080-2208,www.thechicagoschool.edu/admissions//,-96.757210,32.979753,2,2,-2,-2,-2,1,0,1,0,,,,,,,,,,,,
Chicago State University,,13,IL,Chicago,60628-1598,www.csu.edu/admissions/,-87.609384,41.718446,1,2,13,18,7,2,1,1,1,31547,24587,33,15,3,69,19,2,1,440,465,
Chicago Theological Seminary,,,IL,Chicago,60637,https://www.ctschicago.edu/contact/,-87.591178,41.785701,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Chipola College,,49,FL,Marianna,32446-2053,www.chipola.edu/registrar/index.htm,-85.231390,30.789228,1,2,5,23,5,2,0,0,0,17245,11415,,,72,61,48,,,,,
Chowan University,17599,25,NC,Murfreesboro,27855,https://www.chowan.edu/admissions,-77.099141,36.436258,2,2,13,21,10,2,0,1,1,37070,37070,59,20,18,51,29,2,2,390,420,
Christ Mission College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ the King Seminary,,,NY,East Aurora,14052-0607,www.cks.edu/admissions-process,-78.660311,42.770890,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Christian Brothers University,19802,44,TN,Memphis,38104,https://www.cbu.edu/freshman,-89.983241,35.127437,2,2,16,18,12,2,1,1,1,46036,46036,56,25,33,51,58,2,2,,,
Christian Life College,,,IL,Mount Prospect,60056-2522, ,-87.930934,42.074096,2,2,5,24,5,1,-1,-1,-1,,,,,,,,,,,,
Christian Theological Seminary,,,IN,Indianapolis,46208-3301,www.cts.edu,-86.178551,39.832673,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Christopher Newport University,,74,VA,Newport News,23606-3072,cnu.edu/admission/,-76.494364,37.062495,1,2,6,20,12,2,1,1,1,43968,31102,68,24,75,56,72,1,2,540,570,
Church Divinity School of the Pacific,,,CA,Berkeley,94709-1211,cdsp.edu/admissions,-122.261122,37.876184,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Cincinnati Christian University,,,OH,Cincinnati,45204-3200,https://www.ccuniversity.edu/admissions,-84.554080,39.114169,2,2,19,24,11,1,0,0,0,32360,32360,42,76,59,33,54,3,1,450,430,
Cincinnati College of Mortuary Science,,63,OH,Cincinnati,45224-1462, ,-84.505604,39.206578,2,2,5,32,11,1,0,0,0,,,,,91,68,,,,,,
Citadel Military College of South Carolina,,73,SC,Charleston,29409,www.citadel.edu/root/cadet-admissions,-79.958775,32.797183,1,2,17,18,12,2,1,1,1,52135,29663,81,33,75,11,72,1,3,510,520,
City College-Fort Lauderdale,18771,64,FL,Fort Lauderdale,33309, ,-80.170500,26.187467,2,2,5,23,7,1,0,0,0,,,,,15,71,46,,,,,
City College-Gainesville,21734,40,FL,Gainesville,32607,https://www.citycollege.edu/admissions/,-82.417302,29.654852,2,2,5,26,7,1,0,0,0,,,,,38,84,38,,,,,
City College-Miami,19372,56,FL,Miami,33156,https://www.citycollege.edu/admissions/,-80.316377,25.683673,2,2,5,14,7,1,0,0,0,,,,,18,61,32,,,,,
City University of Seattle,,100,WA,Seattle,98121,www.cityu.edu/admissions-financialaid/admissions/overview.aspx,-122.344594,47.617381,2,2,19,18,5,2,0,1,0,31238,31238,,,52,54,0,,,,,
City Vision University,3452,,MO,Kansas City,64109-1845,www.cityvision.edu/admission-enrollment,-94.571053,39.070383,2,2,18,26,5,1,0,0,0,,,,,50,50,100,,,,,
Claflin University,18136,50,SC,Orangeburg,29115-4498,www.claflin.edu/admissions-aid,-80.854319,33.498444,2,1,13,22,10,2,1,1,1,33198,33198,56,10,1,68,50,2,3,410,420,
Claremont Graduate University,,,CA,Claremont,91711-6160,www.cgu.edu/admissions/,-117.713703,34.103585,2,2,0,16,0,2,0,0,0,,,,,,,,,,,,
Claremont Lincoln University,,,CA,Claremont,91711-4744,https://claremontlincoln.edu/admission/financial-aid/,-117.717974,34.094143,2,2,0,29,0,1,0,0,0,,,,,,,,,,,,
Claremont McKenna College,24456,90,CA,Claremont,91711-6400,www.cmc.edu/admission,-117.711188,34.102154,2,2,6,21,14,2,1,1,1,73810,73810,9,56,41,48,93,1,1,680,670,
Claremont School of Theology,,,CA,Claremont,91711-3199,www.cst.edu/admission/,-117.715256,34.107602,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Clarion University of Pennsylvania,,51,PA,Clarion,16214,www.clarion.edu/admissions/,-79.377501,41.207805,1,2,16,18,11,2,1,1,1,32854,27975,94,33,83,67,53,2,2,470,480,
Clark Atlanta University,27931,39,GA,Atlanta,30314-4391,www.cau.edu/admitted-portal/index.html,-84.412584,33.747628,2,1,16,16,10,2,1,1,1,38154,38154,52,12,0,75,45,1,1,460,490,
Clark College,,29,WA,Vancouver,98663-3598,www.clark.edu/enroll/admissions/index.php,-122.651257,45.636133,1,2,5,14,5,3,1,1,0,,,,,63,58,24,,,,,
Clark State Community College,,15,OH,Springfield,45501-0570,www.clarkstate.edu/admissions-financial-aid/,-83.799788,39.896411,4,2,2,5,1,3,0,0,0,,,,,75,66,22,,,,,
Clark University,30158,83,MA,Worcester,01610-1477,www.clarku.edu/undergraduate-admissions/,-71.823356,42.249987,2,2,7,16,12,2,1,1,1,56650,56650,59,13,58,61,77,1,1,,,
Clarke University,34424,64,IA,Dubuque,52001-3198,www.clarke.edu/admissions,-90.690487,42.509475,2,2,16,17,13,2,0,1,0,47400,47400,82,18,74,59,63,2,3,470,460,
Clarks Summit University,16980,72,PA,South Abington Township,18411-1250,https://www.clarkssummitu.edu/future-students/,-75.685472,41.495062,2,2,19,24,9,1,1,1,1,32910,32910,51,59,84,50,57,2,1,,,
Clarkson College,20153,77,NE,Omaha,68131-2739, ,-95.974847,41.259165,2,2,19,26,5,2,1,0,0,26842,26842,41,44,75,86,53,1,3,,,
Clarkson University,29891,73,NY,Potsdam,13699,https://www.clarkson.edu/admissions/,-74.999359,44.662716,2,2,19,16,14,2,1,1,1,68112,68112,71,16,80,31,75,2,1,590,570,
Clayton  State University,,29,GA,Morrow,30260-0285,admissions.clayton.edu/,-84.328174,33.594079,1,2,13,19,9,3,0,1,1,30473,20012,54,60,18,69,30,1,2,,,
Clear Creek Baptist Bible College,11573,44,KY,Pineville,40977-9752,www.ccbbc.edu/pages/future_students.php?nav=navfuture,-83.727702,36.725236,2,2,18,24,5,1,0,0,0,18865,18865,,,94,23,20,,,,,
Cleary University,16137,42,MI,Howell,48843,www.cleary.edu/admissions,-83.879987,42.586638,2,2,19,29,7,1,0,0,0,33684,33684,58,36,65,47,38,2,3,470,460,
Clemson University,,82,SC,Clemson,29634,www.clemson.edu/admissions/index.html,-82.835114,34.679381,1,2,17,15,15,5,1,1,1,53024,31270,47,28,81,49,83,1,3,610,610,
Cleveland Institute of Art,34369,57,OH,Cleveland,44106-1710,www.cia.edu/admissions/,-81.602416,41.510435,2,2,15,30,12,1,0,1,0,58880,58880,73,23,67,67,64,3,1,510,550,
Cleveland Institute of Music,34600,67,OH,Cleveland,44106-1776,www.cim.edu/conservatory/admission/,-81.608878,41.512444,2,2,8,30,14,1,0,1,0,60075,60075,37,34,27,51,75,2,1,,,
Cleveland State University,,43,OH,Cleveland,44115-2214,www.csuohio.edu/admissions/,-81.674355,41.502281,1,2,17,16,9,4,1,1,1,33412,29045,88,22,63,54,45,1,3,480,480,
Cleveland University-Kansas City,35246,67,KS,Overland Park,66210,www.cleveland.edu/admissions,-94.679076,38.932019,2,2,6,26,7,1,0,0,0,,,30,67,73,57,100,3,3,,,
Clinton College,15617,85,SC,Rock Hill,29730,www.clintoncollege.edu,-81.043469,34.913721,2,1,5,23,11,1,0,0,0,21771,21771,,,0,32,100,,,,,
Clover Park Technical College,,47,WA,Lakewood,98499-4004,www.cptc.edu/apply,-122.497873,47.176084,1,2,5,14,11,2,0,0,0,,,,,50,64,41,,,,,
Coastal Carolina University,,42,SC,Conway,29526,https://www.coastal.edu/admissions/,-79.011767,33.794995,1,2,13,18,13,4,1,1,1,40632,25520,70,24,66,54,44,2,2,510,520,
Coe College,21081,69,IA,Cedar Rapids,52402-5092,www.coe.edu/admission,-91.658192,41.988263,2,2,9,21,14,2,1,1,1,57200,57200,67,8,66,56,66,2,3,530,548,
Coker University,15037,52,SC,Hartsville,29550,https://coker.edu/admissions-aid,-80.070416,34.376960,2,2,13,20,11,2,0,1,1,42048,42048,63,30,54,55,35,2,2,470,480,
Colby College,19592,92,ME,Waterville,04901-8840,www.colby.edu/admissions,-69.663370,44.564211,2,2,6,21,14,2,1,1,1,71202,71202,13,36,63,52,90,5,1,680,670,
Colby-Sawyer College,28601,60,NH,New London,03257-7835,www.colby-sawyer.edu/admissions/,-71.975805,43.411663,2,2,15,22,10,1,1,1,1,59662,59662,90,11,78,69,61,2,5,,,
Colgate Rochester Crozer Divinity School,,,NY,Rochester,14620-2589,www.crcds.edu/admissions/,-77.598601,43.131867,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Colgate University,23503,91,NY,Hamilton,13346-1398,www.colgate.edu/admission-financial-aid,-75.536346,42.819475,2,2,7,21,14,2,0,1,1,72275,72275,25,34,65,55,89,2,1,670,650,
College for Creative Studies,38539,58,MI,Detroit,48202,https://www.collegeforcreativestudies.edu/admissions,-83.062352,42.361839,2,2,16,30,13,2,0,1,0,59610,59610,42,31,55,58,62,2,2,460,500,
College of Biblical Studies,,,IN,Indianapolis,46219-4912,https://www.crossroads.edu/admissions/,-86.039961,39.779662,2,2,18,24,7,1,0,0,0,,,,,25,39,31,,,,,
College of Biblical Studies-Houston,16385,58,TX,Houston,77036-3211,cbshouston.edu/admissions,-95.506559,29.716676,2,2,18,24,5,1,0,0,0,,,,,16,50,11,,,,,
College of Central Florida,,40,FL,Ocala,34474,www.cf.edu/go/enroll/admissions/index,-82.175692,29.166079,1,2,5,23,5,3,0,0,0,,,,,61,62,37,,,,,
College of Charleston,,69,SC,Charleston,29424-0001,admissions.cofc.edu/,-79.939794,32.784225,1,2,13,18,15,4,1,1,1,49421,30239,79,24,77,64,71,1,2,520,550,
College of Coastal Georgia,,18,GA,Brunswick,31520-3644,www.ccga.edu/page.cfm?p=635,-81.485973,31.182745,1,2,5,23,7,2,0,1,0,30158,21706,93,53,66,68,21,1,3,440,470,
College of Menominee Nation,6828,19,WI,Keshena,54135-1179,www.menominee.edu/Pros_Stu.aspx?id=612,-88.625628,44.859044,2,2,5,33,5,1,0,0,0,,,,,12,72,20,,,,,
College of Mount Saint Vincent,18068,53,NY,Bronx,10471-1093,https://www.mountsaintvincent.edu/admission,-73.908887,40.913657,2,2,16,20,10,2,1,1,1,52065,52065,78,18,22,71,51,1,1,450,480,
College of Our Lady of the Elms,23871,56,MA,Chicopee,01013,https://www.elms.edu/academics/undergraduate-admission/,-72.601540,42.141781,2,2,16,19,11,2,1,1,1,52462,52462,67,20,55,75,66,2,2,490,480,
College of Saint Benedict,28177,82,MN,Saint Joseph,56374,www.csbsju.edu/admission/,-94.319888,45.561792,2,2,9,21,14,2,1,1,1,58668,58668,83,28,79,100,80,1,1,490,510,
College of Saint Mary,14299,47,NE,Omaha,68106,www.csm.edu/admissions,-96.021425,41.240028,2,2,16,19,13,2,1,1,0,31590,31590,52,53,69,99,60,3,3,,,
College of Southern Idaho,,25,ID,Twin Falls,83301,www.csi.edu/prospectiveStudents_/studentServices/newStudentServices/,-114.473901,42.579837,4,2,2,6,1,3,0,0,0,17578,15298,,,66,64,27,,,,,
College of Southern Nevada,,21,NV,Las Vegas,89146-1164,https://www.csn.edu/admissions,-115.233099,36.158114,1,2,5,14,5,5,0,0,0,,,,,30,57,9,,,,,
College of St Joseph,,,VT,Rutland,05701-3899,https://www.csj.edu/admissions/undergraduate/application-forms/,-73.000848,43.600507,2,2,16,22,11,1,0,0,0,33820,33820,47,12,61,60,54,2,1,,,
College of Staten Island CUNY,,30,NY,Staten Island,10314,www.csi.cuny.edu/admissions/,-74.148490,40.601831,1,2,10,18,10,4,0,1,1,40064,32394,,,43,54,31,,,,,
College of the Atlantic,18608,66,ME,Bar Harbor,04609,www.coa.edu/admissions/,-68.221517,44.395258,2,2,8,21,12,1,0,1,0,54918,54918,67,27,65,76,67,2,1,,,
College of the Holy Cross,34627,92,MA,Worcester,01610-2395,www.holycross.edu/admissions-aid,-71.808214,42.237520,2,2,6,21,14,2,1,1,1,69190,69190,38,32,72,51,92,2,1,,,
College of the Ozarks,11316,66,MO,Point Lookout,65726-0017,www.cofo.edu/Page/Admissions.15.html,-93.238174,36.616019,2,2,15,22,12,2,1,0,0,30220,30220,12,95,89,55,66,2,1,563,630,
College Unbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollegeAmerica-Colorado Springs,24781,33,CO,Colorado Springs,80909, ,-104.758069,38.862312,2,2,5,26,10,1,0,0,0,,,,,35,54,34,,,,,
CollegeAmerica-Fort Collins,24150,26,CO,Fort Collins,80525, ,-105.080277,40.523124,2,2,5,26,10,1,0,0,0,,,,,57,70,33,,,,,
Collin County Community College District,,22,TX,McKinney,75069,www.collin.edu/gettingstarted/admissions/index.html,-96.638940,33.162410,4,2,1,2,1,5,1,0,0,,,,,49,56,16,,,,,
Colorado Christian University,26476,50,CO,Lakewood,80226,www.ccu.edu/admissions/,-105.094560,39.713880,2,2,16,19,5,3,1,1,1,45525,45525,,,64,66,52,,,,,
Colorado College,32303,87,CO,Colorado Springs,80903,www.coloradocollege.edu/admission/choosingCC/,-104.822697,38.848860,2,2,6,21,14,2,1,1,1,71642,71642,15,42,65,55,89,2,1,,,
Colorado Mesa University,,31,CO,Grand Junction,81501-3122,future.coloradomesa.edu/admissions,-108.553275,39.080643,1,2,16,20,11,3,0,1,1,36459,24142,81,35,67,54,36,2,2,470,470,
Colorado Mountain College,,30,CO,Glenwood Springs,81601-0233,coloradomtn.edu/admissions/,-107.324441,39.546360,1,2,5,23,5,3,0,1,0,23098,16546,,,60,57,21,,,,,
Colorado School of Mines,,80,CO,Golden,80401,www.mines.edu/undergraduate-admissions/,-105.223364,39.751443,1,2,20,16,14,3,1,1,1,55118,35498,49,19,72,30,80,1,2,660,630,
Colorado State University Pueblo,,34,CO,Pueblo,81001-4901,https://www.csupueblo.edu/Admissions,-104.579033,38.308590,1,2,13,20,11,3,1,1,1,43201,27280,95,30,46,52,32,2,3,460,460,
Colorado State University-Fort Collins,,71,CO,Fort Collins,80523-0100,admissions.colostate.edu/,-105.080732,40.574805,1,2,14,15,15,5,1,1,1,44132,26231,84,26,71,52,71,2,1,530,540,
Colorado State University-Global Campus,,,CO,Greenwood Village,80111-0000,https://csuglobal.edu/undergraduate/admissions/admission-process/,-104.898051,39.608848,1,2,16,18,5,4,0,0,0,,,,,65,58,,,,,,
Columbia Basin College,,34,WA,Pasco,99301,www.columbiabasin.edu/index.aspx?page=239,-119.121030,46.252160,1,2,5,23,6,3,0,1,0,20038,18068,,,50,54,29,,,,,
Columbia College,25065,23,MO,Columbia,65216,www.ccis.edu/admissions/,-92.326354,38.957388,2,2,16,18,5,4,1,1,0,36352,36352,,,56,56,30,,,,,
Columbia College,18359,49,SC,Columbia,29203,www.columbiasc.edu/admissions/,-81.029967,34.045581,2,2,15,20,5,2,1,1,0,33123,33123,96,19,46,80,53,3,5,,,
Columbia College Chicago,32111,43,IL,Chicago,60605-1996,www.colum.edu/Admissions/,-87.624667,41.874261,2,2,16,19,11,3,0,1,0,45644,45644,87,19,53,58,48,2,5,,,
Columbia College Hollywood,28804,59,CA,Tarzana,91356-1411,https://www.columbiacollege.edu/admissions/getting-started,-118.538793,34.179720,2,2,6,30,15,1,0,1,0,,,,,43,46,50,,,,,
Columbia College of Nursing,,,WI,Glendale,53212,www.ccon.edu/oth/page.asp?pageid=OTH100904,-87.918283,43.097318,2,2,18,26,11,1,0,1,0,,,,,80,88,,,,,,
Columbia International University,18242,72,SC,Columbia,29203-1513,www.ciu.edu/admissions-aid/application-process,-81.074430,34.075510,2,2,16,20,11,2,0,1,0,36150,36150,33,53,60,52,64,2,1,470,470,
Columbia Theological Seminary,,,GA,Decatur,30030-4118,www.ctsnet.edu/admissions,-84.281695,33.764292,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Columbia University in the City of New York,21828,95,NY,New York,10027,www.columbia.edu/content/admissions.html,-73.961885,40.808286,2,2,8,15,15,5,1,1,1,76856,76856,6,62,36,47,96,1,1,740,710,
Columbus College of Art and Design,28470,61,OH,Columbus,43215,www.ccad.edu/future-students-parents/admissions/,-82.989479,39.966074,2,2,15,30,13,2,0,1,0,49834,49834,88,32,66,70,62,3,3,,,
Columbus State University,,32,GA,Columbus,31907-5645,admissions.columbusstate.edu/,-84.941060,32.500960,1,2,16,18,7,3,1,1,1,32532,21746,56,53,49,60,37,1,3,420,450,
Community College of Denver,,17,CO,Denver,80204-2026,https://www.ccd.edu/org/admissions-registration-records,-105.001044,39.741413,1,2,5,14,5,3,1,0,0,,,,,31,59,13,,,,,
Compass College of Cinematic Arts,20397,85,MI,Grand Rapids,49503,compass.edu,-85.667065,42.961875,2,2,18,30,10,1,0,0,0,,,68,65,78,22,86,3,1,,,
Conception Seminary College,35288,93,MO,Conception,64433-0502,www.conception.edu,-94.682831,40.240440,2,2,6,24,11,1,0,0,0,38200,38200,100,100,70,3,29,2,1,,,
Concord University,,34,WV,Athens,24712,www.concord.edu/admissions,-81.006696,37.423723,1,2,13,19,10,2,0,1,1,30687,21243,89,29,82,59,38,2,3,460,460,
Concordia College,23738,45,NY,Bronxville,10708-1998,www.concordia-ny.edu/admission/,-73.822020,40.943382,2,2,16,20,11,2,0,1,1,48220,48220,81,15,53,78,43,2,1,470,480,
Concordia College at Moorhead,23970,70,MN,Moorhead,56562,https://www.concordiacollege.edu/admission/apply/,-96.767490,46.862482,2,2,13,21,14,2,1,1,1,51798,51798,61,23,82,58,75,2,5,550,530,
Concordia Seminary,,,MO,Saint Louis,63105-3196,www.csl.edu/admissions/,-90.311324,38.637181,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Concordia Theological Seminary,,,IN,Fort Wayne,46825-4996,www.ctsfw.edu/future-students/,-85.109940,41.139321,2,2,0,24,0,1,0,1,0,,,,,,,,,,,,
Concordia University Texas,24061,42,TX,Austin,78726,www.concordia.edu/admissions/,-97.835703,30.420232,2,2,16,18,9,2,1,1,1,47244,47244,91,17,43,66,35,3,3,470,470,
Concordia University-Ann Arbor,25779,25,MI,Ann Arbor,48105,https://www.cuaa.edu/admissions,-83.682680,42.273157,2,2,16,22,13,2,1,1,0,44150,44150,49,23,77,55,39,2,2,,,
Concordia University-Chicago,17051,41,IL,River Forest,60305-1499,www.cuchicago.edu/admission,-87.809482,41.898696,2,2,16,18,13,3,0,1,1,44426,44426,76,10,44,59,49,2,5,490,500,
Concordia University-Irvine,28435,64,CA,Irvine,92612-3203,www.cui.edu/admissions/,-117.812305,33.653665,2,2,13,18,13,2,1,1,1,51930,51930,62,13,49,62,63,5,5,510,520,
Concordia University-Nebraska,21786,66,NE,Seward,68434-1556,www.cune.edu/admission,-97.089054,40.914853,2,2,16,18,12,2,1,1,0,44110,44110,68,27,60,55,63,2,3,430,460,
Concordia University-Portland,19042,48,OR,Portland,97211-6099,www.cu-portland.edu/Admission,-122.636941,45.570197,2,2,19,17,13,3,0,1,1,44078,44078,60,18,62,73,47,2,1,490,500,
Concordia University-Saint Paul,18757,52,MN,Saint Paul,55104-5494,https://www.csp.edu/admission/,-93.154861,44.949759,2,2,19,18,5,3,1,1,1,35275,35275,97,28,61,60,59,2,2,,,
Concordia University-Wisconsin,25175,53,WI,Mequon,53097-2402,https://www.cuw.edu/admissions,-87.915520,43.253387,2,2,19,17,9,3,0,1,1,44850,44850,65,27,71,65,59,2,3,,,
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,15403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut College,40707,85,CT,New London,06320-4196,www.conncoll.edu/admission/,-72.107321,41.379833,2,2,6,21,14,2,0,1,1,71970,71970,38,21,69,61,81,2,1,640,650,
Converse College,14849,62,SC,Spartanburg,29302-0006, ,-81.917881,34.955534,2,2,10,20,13,2,1,1,1,34230,34230,59,20,63,99,56,2,3,510,530,
Conway School of Landscape Design,,,MA,Northampton,01060,www.csld.edu/admissions/,-72.648750,42.313857,2,2,0,30,0,1,0,0,0,,,,,,,,,,,,
Cooper Union for the Advancement of Science and Art,28366,83,NY,New York,10003-7120,cooper.edu/admissions,-73.991609,40.728148,2,2,17,22,14,1,0,1,0,66313,66313,16,55,31,39,88,2,1,653,630,
Coppin State University,,25,MD,Baltimore,21216-3698,https://www.coppin.edu/admissions,-76.658687,39.311258,1,1,16,20,7,2,1,1,1,29603,23332,38,17,2,78,24,3,3,430,450,
Corban University,22160,51,OR,Salem,97317-9392,inside.corban.edu/admissions,-122.961129,44.882399,2,2,16,22,13,2,1,1,0,46350,46350,91,24,75,61,67,3,1,520,510,
Cornell College,28566,71,IA,Mount Vernon,52314-1098,www.cornellcollege.edu/admissions/index.shtml,-91.423741,41.924554,2,2,9,21,14,2,0,1,1,58381,58381,61,19,68,48,76,2,5,540,540,
Cornell University,28921,93,NY,Ithaca,14853,https://admissions.cornell.edu/,-76.483084,42.447200,2,2,14,15,14,5,1,1,1,73904,73904,11,60,36,53,95,5,1,710,680,
Cornerstone University,19923,53,MI,Grand Rapids,49525-5897,www.cornerstone.edu/admissions-office,-85.595328,42.979966,2,2,16,19,6,2,1,1,0,36772,36772,73,16,78,62,55,2,5,470,480,
Cornish College of the Arts,39093,53,WA,Seattle,98121,www.cornish.edu/admission/apply/,-122.336238,47.618174,2,2,9,30,11,1,0,1,0,59442,59442,77,29,61,67,59,2,1,,,
Cottey College,18578,54,MO,Nevada,64772,www.cottey.edu/admission/,-94.371311,37.836127,2,2,5,23,10,1,0,1,0,32536,32536,38,41,67,100,59,1,5,460,510,
Covenant College,24619,69,GA,Lookout Mountain,30750-4164,www.covenant.edu/admissions,-85.375066,34.965161,2,2,10,21,14,2,1,1,1,47430,47430,97,38,82,52,71,2,1,540,580,
Covenant Theological Seminary,,,MO,Saint Louis,63141-8609,https://www.covenantseminary.edu/admissions/admissions-overview/,-90.451323,38.643066,2,2,0,24,0,1,0,0,0,,,,,,,,,,,,
Cox College,24746,23,MO,Springfield,65802-1917,https://coxcollege.edu/admissions-2/,-93.290233,37.225116,2,2,19,26,5,1,0,0,0,,,100,100,88,87,60,3,3,,,
Cranbrook Academy of Art,,,MI,Bloomfield Hills,48304,https://cranbrookart.edu/,-83.250681,42.568904,2,2,0,30,0,1,0,0,0,,,,,,,,,,,,
Creighton University,32145,80,NE,Omaha,68178,https://www.creighton.edu/admissions,-95.947811,41.265361,2,2,13,17,14,3,1,1,1,54952,54952,71,16,71,57,81,1,1,570,580,
Criswell College,14137,17,TX,Dallas,75246-1537,www.criswell.edu/admissions/,-96.776690,32.793513,2,2,19,24,5,1,0,0,0,,,100,76,53,35,15,3,1,410,478,
Crowley's Ridge College,13801,29,AR,Paragould,72450, ,-90.584395,36.064845,2,2,15,22,10,1,0,0,0,22910,22910,,,88,51,44,,,,,
Crown College,26850,67,MN,Saint Bonifacius,55375-9001,www.crown.edu/admissions/,-93.743019,44.885393,2,2,16,20,7,2,0,1,1,40762,40762,55,41,76,53,52,2,3,460,440,
Culinary Institute of America,30095,77,NY,Hyde Park,12538-1499,www.ciachef.edu/cia-admissions/,-73.933231,41.745806,2,2,5,32,11,2,0,1,0,48180,48180,98,47,47,51,69,2,1,,,
Culver-Stockton College,21096,46,MO,Canton,63435-1299,www.culver.edu/admission/,-91.529374,40.128993,2,2,16,22,10,2,0,1,0,39800,39800,46,13,73,49,50,5,2,470,480,
Cumberland University,26787,49,TN,Lebanon,37087,www.cumberland.edu/admissions,-86.298782,36.204514,2,2,19,19,13,2,0,0,0,37990,37990,62,42,59,56,43,2,2,460,470,
CUNY Bernard M Baruch College,,69,NY,New York,10010,www.baruch.cuny.edu/admission/,-73.983417,40.740238,1,2,17,18,9,4,0,1,1,40351,32681,39,20,21,47,69,1,2,630,590,
CUNY Brooklyn College,,56,NY,Brooklyn,11210,www.brooklyn.cuny.edu/web/admissions.php,-73.949898,40.631517,1,2,14,18,9,4,0,1,1,,,44,19,29,57,58,1,5,540,520,
CUNY City College,,49,NY,New York,10031,www.ccny.cuny.edu/admissions,-73.948542,40.819846,1,2,11,16,13,4,0,1,1,37637,29967,48,17,14,52,55,1,3,530,510,
CUNY Graduate School and University Center,,100,NY,New York,10016,www.gc.cuny.edu/Admissions,-73.983822,40.748612,1,2,11,15,5,3,0,0,0,,,,,22,72,,,,,,
CUNY Hunter College,,51,NY,New York,10065,www.hunter.cuny.edu/admissions,-73.964795,40.768669,1,2,8,18,9,5,0,1,1,30049,22379,36,23,23,65,56,1,3,580,570,
CUNY John Jay College of Criminal Justice,,46,NY,New York,10019,www.jjay.cuny.edu/admissions,-73.988410,40.770351,1,2,16,18,13,4,0,1,1,42931,35261,41,28,16,58,46,1,3,490,490,
CUNY Lehman College,,45,NY,Bronx,10468,www.lehman.edu/admissions,-73.895379,40.872962,1,2,13,18,9,4,0,1,1,35527,27857,40,16,6,68,49,1,3,490,490,
CUNY Medgar Evers College,,16,NY,Brooklyn,11225,https://ares.mec.cuny.edu/admissions/,-73.957076,40.666256,1,2,5,23,7,3,0,1,1,,,,,1,69,13,,,,,
CUNY New York City College of Technology,,23,NY,Brooklyn,11201,www.citytech.cuny.edu/admissions/,-73.987856,40.695483,1,2,5,23,9,4,0,1,1,,,75,24,10,44,17,3,3,,,
